trial_name,status,returncode,params,result_json,rmse,mse,mae,all_metrics,available_metrics
baseline,ok,0,"{""training.lr"": 0.0002, ""training.weight_decay"": 0.0, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_151428_262414/test_results.json,0.8696698579783987,,,"{""mse"": 0.7563256618761682, ""rmse"": 0.8696698579783987, ""mae"": 0.6574131345525034, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 2.7885146141052246, ""unclipped_prediction_max"": 5.072042942047119, ""clipped_prediction_min"": 2.7885146141052246, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.3034652989794955, ""pred_std"": 0.3729103625892729, ""pred_min"": 2.7885146141052246, ""pred_max"": 5.0, ""abs_error_mean"": 0.6574131345525034, ""abs_error_p90"": 1.31063289642334, ""abs_error_p95"": 1.7459262371063256, ""abs_error_p99"": 3.1321815299987823, ""abs_error_max"": 3.806358814239502, ""mean_gate"": 0.31738871335983276, ""std_gate"": 0.13065330684185028, ""mean_p_inc"": 0.6826112866401672, ""std_p_inc"": 0.13065330684185028, ""mean_alignment"": 0.13510426878929138, ""std_alignment"": 0.27818238735198975, ""mean_intent_entropy"": 1.5276873111724854, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 1.089540958404541, ""low_alignment_mae"": 0.8695027828216553, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8440863490104675, ""mid_alignment_mae"": 0.6580454111099243, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.6760793328285217, ""high_alignment_mae"": 0.4434267580509186, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.824632937639443}",
round1_training.lr_0.0001,ok,0,"{""training.lr"": 0.0001, ""training.weight_decay"": 0.0, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_152053_893357/test_results.json,0.8804756964933881,,,"{""mse"": 0.7752374521155168, ""rmse"": 0.8804756964933881, ""mae"": 0.6344347549492204, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 2.658257246017456, ""unclipped_prediction_max"": 5.147326946258545, ""clipped_prediction_min"": 2.658257246017456, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.360836041454978, ""pred_std"": 0.4798083550425438, ""pred_min"": 2.658257246017456, ""pred_max"": 5.0, ""abs_error_mean"": 0.6344347549492204, ""abs_error_p90"": 1.4123609542846685, ""abs_error_p95"": 1.8179167747497564, ""abs_error_p99"": 3.0726251602172896, ""abs_error_max"": 3.966254234313965, ""mean_gate"": 0.32757821679115295, ""std_gate"": 0.11707352846860886, ""mean_p_inc"": 0.6724218130111694, ""std_p_inc"": 0.11707352846860886, ""mean_alignment"": 0.15580281615257263, ""std_alignment"": 0.24313542246818542, ""mean_intent_entropy"": 1.548101544380188, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 1.1062575578689575, ""low_alignment_mae"": 0.911997377872467, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8636809587478638, ""mid_alignment_mae"": 0.6444973349571228, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.6438531875610352, ""high_alignment_mae"": 0.3266845643520355, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8270206072302593}",
round1_training.lr_0.0005,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 0.0, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_152753_320183/test_results.json,0.868282768763932,,,"{""mse"": 0.7539149665323598, ""rmse"": 0.868282768763932, ""mae"": 0.6535718518467576, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.3749070167541504, ""unclipped_prediction_max"": 4.968609809875488, ""clipped_prediction_min"": 1.3749070167541504, ""clipped_prediction_max"": 4.968609809875488, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.324044267627555, ""pred_std"": 0.39926756155549664, ""pred_min"": 1.3749070167541504, ""pred_max"": 4.968609809875488, ""abs_error_mean"": 0.6535718518467576, ""abs_error_p90"": 1.3116654396057144, ""abs_error_p95"": 1.747504806518555, ""abs_error_p99"": 3.1522003173828153, ""abs_error_max"": 3.83272647857666, ""mean_gate"": 0.03867683187127113, ""std_gate"": 0.038155630230903625, ""mean_p_inc"": 0.9613232016563416, ""std_p_inc"": 0.038155630230903625, ""mean_alignment"": -0.5636308789253235, ""std_alignment"": 0.17456825077533722, ""mean_intent_entropy"": 1.395858645439148, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.8826347589492798, ""low_alignment_mae"": 0.6874646544456482, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.891704261302948, ""mid_alignment_mae"": 0.6793166399002075, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.7778953909873962, ""high_alignment_mae"": 0.54244464635849, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8163930225711282}",
round1_training.lr_0.001,ok,0,"{""training.lr"": 0.001, ""training.weight_decay"": 0.0, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_153422_486985/test_results.json,0.8698840585617892,,,"{""mse"": 0.7566982753399303, ""rmse"": 0.8698840585617892, ""mae"": 0.6464429363286551, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.5779240131378174, ""unclipped_prediction_max"": 5.178067684173584, ""clipped_prediction_min"": 1.5779240131378174, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.353663362628417, ""pred_std"": 0.39694563592551574, ""pred_min"": 1.5779240131378174, ""pred_max"": 5.0, ""abs_error_mean"": 0.6464429363286551, ""abs_error_p90"": 1.3439960479736328, ""abs_error_p95"": 1.7923917770385756, ""abs_error_p99"": 3.172386474609378, ""abs_error_max"": 3.86441707611084, ""mean_gate"": 0.10709206759929657, ""std_gate"": 0.11790040135383606, ""mean_p_inc"": 0.892907977104187, ""std_p_inc"": 0.11790040880441666, ""mean_alignment"": -0.3875263035297394, ""std_alignment"": 0.3296491801738739, ""mean_intent_entropy"": 0.7638338804244995, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.9671146273612976, ""low_alignment_mae"": 0.7392822504043579, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8982549905776978, ""mid_alignment_mae"": 0.6924516558647156, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.6539071202278137, ""high_alignment_mae"": 0.4155774414539337, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.817713216454839}",
round1_training.weight_decay_1e-06,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 1e-06, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_154047_107471/test_results.json,0.867786867077453,,,"{""mse"": 0.7530540466721011, ""rmse"": 0.867786867077453, ""mae"": 0.6539300455173976, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.607253074645996, ""unclipped_prediction_max"": 5.01587438583374, ""clipped_prediction_min"": 1.607253074645996, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.310300911424306, ""pred_std"": 0.4145116448931071, ""pred_min"": 1.607253074645996, ""pred_max"": 5.0, ""abs_error_mean"": 0.6539300455173976, ""abs_error_p90"": 1.3162509918212892, ""abs_error_p95"": 1.757713127136231, ""abs_error_p99"": 3.1612907791137737, ""abs_error_max"": 3.854870319366455, ""mean_gate"": 0.03407979756593704, ""std_gate"": 0.038285184651613235, ""mean_p_inc"": 0.9659202694892883, ""std_p_inc"": 0.03828518092632294, ""mean_alignment"": -0.5858414769172668, ""std_alignment"": 0.15866540372371674, ""mean_intent_entropy"": 1.1889957189559937, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.8219372034072876, ""low_alignment_mae"": 0.6551122069358826, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8452640771865845, ""mid_alignment_mae"": 0.6311618089675903, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.9727669954299927, ""high_alignment_mae"": 0.7210525870323181, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8156292840761835}",
round1_training.weight_decay_1e-05,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 1e-05, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_154714_651276/test_results.json,0.8681055961314146,,,"{""mse"": 0.7536073260346786, ""rmse"": 0.8681055961314146, ""mae"": 0.6538147184882366, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.703812837600708, ""unclipped_prediction_max"": 5.045012950897217, ""clipped_prediction_min"": 1.703812837600708, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.3083713783120885, ""pred_std"": 0.41741686596658956, ""pred_min"": 1.703812837600708, ""pred_max"": 5.0, ""abs_error_mean"": 0.6538147184882366, ""abs_error_p90"": 1.3155323982238776, ""abs_error_p95"": 1.762004041671753, ""abs_error_p99"": 3.1693262100219775, ""abs_error_max"": 3.8520965576171875, ""mean_gate"": 0.03538690507411957, ""std_gate"": 0.0446508452296257, ""mean_p_inc"": 0.9646130204200745, ""std_p_inc"": 0.0446508452296257, ""mean_alignment"": -0.591204047203064, ""std_alignment"": 0.17299513518810272, ""mean_intent_entropy"": 1.1929751634597778, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.843720555305481, ""low_alignment_mae"": 0.6653446555137634, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8107221722602844, ""mid_alignment_mae"": 0.5991291999816895, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 1.0413265228271484, ""high_alignment_mae"": 0.8063414096832275, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8158050771663965}",
round1_training.weight_decay_0.0001,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 0.0001, ""training.grad_clip"": 1.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_155343_543404/test_results.json,0.8685024231543602,,,"{""mse"": 0.7542964590249953, ""rmse"": 0.8685024231543602, ""mae"": 0.6538175127092102, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.7990577220916748, ""unclipped_prediction_max"": 5.072006702423096, ""clipped_prediction_min"": 1.7990577220916748, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.313487108436549, ""pred_std"": 0.4158405114210182, ""pred_min"": 1.7990577220916748, ""pred_max"": 5.0, ""abs_error_mean"": 0.6538175127092102, ""abs_error_p90"": 1.3293974399566655, ""abs_error_p95"": 1.7464460372924808, ""abs_error_p99"": 3.1549831008911164, ""abs_error_max"": 3.8336634635925293, ""mean_gate"": 0.03452899307012558, ""std_gate"": 0.04659547656774521, ""mean_p_inc"": 0.9654709696769714, ""std_p_inc"": 0.04659547656774521, ""mean_alignment"": -0.6184573769569397, ""std_alignment"": 0.18858693540096283, ""mean_intent_entropy"": 1.2579350471496582, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.834369421005249, ""low_alignment_mae"": 0.6566886305809021, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8021894097328186, ""mid_alignment_mae"": 0.5903732776641846, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 1.0699470043182373, ""high_alignment_mae"": 0.841279149055481, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8158030388100268}",
round1_training.grad_clip_0.5,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 1e-06, ""training.grad_clip"": 0.5, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_160002_963599/test_results.json,0.8679315904799163,,,"{""mse"": 0.7533052457529972, ""rmse"": 0.8679315904799163, ""mae"": 0.653257857219714, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.62996244430542, ""unclipped_prediction_max"": 5.021596908569336, ""clipped_prediction_min"": 1.62996244430542, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.311985211976817, ""pred_std"": 0.4130512044343723, ""pred_min"": 1.62996244430542, ""pred_max"": 5.0, ""abs_error_mean"": 0.653257857219714, ""abs_error_p90"": 1.3195786476135258, ""abs_error_p95"": 1.7590479850769045, ""abs_error_p99"": 3.17315473556519, ""abs_error_max"": 3.8387084007263184, ""mean_gate"": 0.03297058492898941, ""std_gate"": 0.03805362805724144, ""mean_p_inc"": 0.9670293927192688, ""std_p_inc"": 0.03805362805724144, ""mean_alignment"": -0.5946521162986755, ""std_alignment"": 0.1590391993522644, ""mean_intent_entropy"": 1.2478289604187012, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.8116942048072815, ""low_alignment_mae"": 0.6502341032028198, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8365908861160278, ""mid_alignment_mae"": 0.621917724609375, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 1.0040048360824585, ""high_alignment_mae"": 0.7503020763397217, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8158869509872735}",
round1_training.grad_clip_2.0,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 1e-06, ""training.grad_clip"": 2.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_160623_530798/test_results.json,0.8694567699646406,,,"{""mse"": 0.755955074837346, ""rmse"": 0.8694567699646406, ""mae"": 0.6480202628301343, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.5820977687835693, ""unclipped_prediction_max"": 5.076399803161621, ""clipped_prediction_min"": 1.5820977687835693, ""clipped_prediction_max"": 5.0, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.333461924449939, ""pred_std"": 0.4223044848487016, ""pred_min"": 1.5820977687835693, ""pred_max"": 5.0, ""abs_error_mean"": 0.6480202628301343, ""abs_error_p90"": 1.3252148151397707, ""abs_error_p95"": 1.781149911880495, ""abs_error_p99"": 3.175764102935796, ""abs_error_max"": 3.9272398948669434, ""mean_gate"": 0.03571939095854759, ""std_gate"": 0.0409734807908535, ""mean_p_inc"": 0.9642806649208069, ""std_p_inc"": 0.0409734807908535, ""mean_alignment"": -0.5766028165817261, ""std_alignment"": 0.16191603243350983, ""mean_intent_entropy"": 1.2099530696868896, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.8463267683982849, ""low_alignment_mae"": 0.6648983955383301, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8382905721664429, ""mid_alignment_mae"": 0.6196300387382507, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.9774011969566345, ""high_alignment_mae"": 0.7163127064704895, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8163419321286558}",
round1_training.grad_clip_5.0,ok,0,"{""training.lr"": 0.0005, ""training.weight_decay"": 1e-06, ""training.grad_clip"": 5.0, ""model.d_id"": 64, ""model.d_model"": 128, ""model.num_layers"": 1, ""model.num_intents"": 5, ""model.eta"": 0.6, ""model.dropout"": 0.2, ""model.tau_p"": 0.2, ""model.gate_alpha"": 5.0, ""model.history_top_k"": 50, ""loss.lambda_rating"": 1.0, ""loss.lambda_align"": 0.1, ""loss.lambda_sep"": 0.05, ""loss.lambda_recon"": 0.1}",/home/infolab/mnt/mingyu/review_rec/rating4review/results/iard_rm_42_Amazon_Office_Products_14_20260515_161253_156716/test_results.json,0.8688556124488134,,,"{""mse"": 0.7549100752838025, ""rmse"": 0.8688556124488134, ""mae"": 0.649670553565585, ""num_samples"": 5325, ""eval_clip"": true, ""min_rating"": 1.0, ""max_rating"": 5.0, ""unclipped_prediction_min"": 1.4403455257415771, ""unclipped_prediction_max"": 4.943163871765137, ""clipped_prediction_min"": 1.4403455257415771, ""clipped_prediction_max"": 4.943163871765137, ""label_min"": 1.0, ""label_max"": 5.0, ""rating_mean"": 4.317183017730713, ""rating_std"": 0.9550731778144836, ""rating_distribution"": {""1.0"": 126, ""2.0"": 194, ""3.0"": 514, ""4.0"": 1522, ""5.0"": 2969}, ""pred_mean"": 4.338247231183478, ""pred_std"": 0.40749545752990385, ""pred_min"": 1.4403455257415771, ""pred_max"": 4.943163871765137, ""abs_error_mean"": 0.649670553565585, ""abs_error_p90"": 1.3321047306060803, ""abs_error_p95"": 1.7805416107177736, ""abs_error_p99"": 3.1681291198730483, ""abs_error_max"": 3.861417770385742, ""mean_gate"": 0.04519753158092499, ""std_gate"": 0.04663122072815895, ""mean_p_inc"": 0.9548025131225586, ""std_p_inc"": 0.04663122072815895, ""mean_alignment"": -0.5443260073661804, ""std_alignment"": 0.2003341168165207, ""mean_intent_entropy"": 1.3377209901809692, ""mean_empty_history_ratio"": 0.0, ""history_source_ratio"": 1.0, ""low_alignment_rmse"": 0.9623226523399353, ""low_alignment_mae"": 0.7332563400268555, ""low_alignment_count"": 1065.0, ""mid_alignment_rmse"": 0.8822411894798279, ""mid_alignment_mae"": 0.6788532733917236, ""mid_alignment_count"": 3195.0, ""high_alignment_rmse"": 0.7165451049804688, ""high_alignment_mae"": 0.47853636741638184, ""high_alignment_count"": 1065.0, ""best_valid_metric"": 0.8164648117994286}",
